Building_ID,Parcel_ID,Latitude,Longitude,Floors,Height_m,Building_Type
B001,LP001,14.472789,78.8205,4,12,Commercial
B002,LP002,14.462791,78.82205,7,21,Apartment
B003,LP003,14.461739,78.828438,6,18,Commercial
B004,LP004,14.464653,78.83204,2,6,Commercial
B005,LP005,14.472998,78.830899,5,15,Mixed Use
B006,LP006,14.465564,78.837386,6,18,Mixed Use
B007,LP007,14.473963,78.826805,5,15,Independent House
B008,LP008,14.462044,78.827599,4,12,Mixed Use
B009,LP009,14.472075,78.836143,7,21,Independent House
B010,LP010,14.462497,78.838446,5,15,Mixed Use
B011,LP011,14.476588,78.83237,1,3,Commercial
B012,LP012,14.463846,78.821391,5,15,Independent House
B013,LP013,14.479704,78.837106,7,21,Commercial
B014,LP014,14.465559,78.832714,8,24,Mixed Use
B015,LP015,14.467105,78.833404,8,24,Independent House
B016,LP016,14.472961,78.832183,8,24,Independent House
B017,LP017,14.464896,78.829245,2,6,Commercial
B018,LP018,14.473763,78.824392,6,18,Apartment
B019,LP019,14.464581,78.820642,4,12,Commercial
B020,LP020,14.461324,78.838263,4,12,Independent House
B021,LP021,14.466294,78.833109,3,9,Apartment
B022,LP022,14.469177,78.825298,1,3,Independent House
B023,LP023,14.47078,78.83494,8,24,Apartment
B024,LP024,14.467988,78.824386,8,24,Mixed Use
B025,LP025,14.46987,78.835116,4,12,Mixed Use
B026,LP026,14.472549,78.835842,8,24,Mixed Use
B027,LP027,14.467695,78.831918,4,12,Independent House
B028,LP028,14.479422,78.837216,1,3,Apartment
B029,LP029,14.462291,78.837696,7,21,Independent House
B030,LP030,14.466804,78.82587,3,9,Mixed Use
B031,LP031,14.479076,78.837517,1,3,Independent House
B032,LP032,14.475239,78.830154,2,6,Mixed Use
B033,LP033,14.465969,78.832779,3,9,Mixed Use
B034,LP034,14.467478,78.823231,6,18,Mixed Use
B035,LP035,14.47837,78.831979,7,21,Mixed Use
B036,LP036,14.478582,78.837574,3,9,Mixed Use
B037,LP037,14.464789,78.824817,8,24,Commercial
B038,LP038,14.461713,78.82972,4,12,Commercial
B039,LP039,14.475317,78.822568,8,24,Independent House
B040,LP040,14.463303,78.830553,5,15,Mixed Use
B041,LP041,14.478578,78.835105,2,6,Commercial
B042,LP042,14.466234,78.839903,4,12,Commercial
B043,LP043,14.477992,78.82903,6,18,Commercial
B044,LP044,14.466762,78.831766,2,6,Independent House
B045,LP045,14.460144,78.834157,3,9,Independent House
B046,LP046,14.478108,78.837193,7,21,Independent House
B047,LP047,14.46557,78.829708,4,12,Apartment
B048,LP048,14.47871,78.831421,7,21,Mixed Use
B049,LP049,14.47615,78.823808,6,18,Mixed Use
B050,LP050,14.467086,78.828222,7,21,Apartment
B051,LP051,14.473467,78.839683,4,12,Mixed Use
B052,LP052,14.474564,78.836012,7,21,Apartment
B053,LP053,14.463804,78.828972,7,21,Mixed Use
B054,LP054,14.469253,78.83749,1,3,Commercial
B055,LP055,14.461958,78.833043,5,15,Mixed Use
B056,LP056,14.47938,78.838527,7,21,Independent House
B057,LP057,14.468128,78.829627,8,24,Independent House
B058,LP058,14.463293,78.820043,5,15,Mixed Use
B059,LP059,14.465705,78.833932,8,24,Apartment
B060,LP060,14.473237,78.829733,7,21,Commercial
B061,LP061,14.479374,78.831584,7,21,Independent House
B062,LP062,14.466272,78.821003,8,24,Independent House
B063,LP063,14.463149,78.839216,1,3,Mixed Use
B064,LP064,14.46137,78.821359,1,3,Apartment
B065,LP065,14.462398,78.837806,7,21,Independent House
B066,LP066,14.460795,78.82164,8,24,Independent House
B067,LP067,14.470456,78.838694,1,3,Commercial
B068,LP068,14.466284,78.825312,7,21,Commercial
B069,LP069,14.466,78.826324,4,12,Mixed Use
B070,LP070,14.460186,78.832423,6,18,Commercial
B071,LP071,14.461465,78.824263,7,21,Commercial
B072,LP072,14.477617,78.837585,7,21,Commercial
B073,LP073,14.468764,78.830864,2,6,Mixed Use
B074,LP074,14.470579,78.833357,1,3,Apartment
B075,LP075,14.462072,78.837563,6,18,Independent House
B076,LP076,14.474848,78.823109,2,6,Apartment
B077,LP077,14.474352,78.824072,1,3,Independent House
B078,LP078,14.470108,78.825022,4,12,Apartment
B079,LP079,14.461846,78.828472,3,9,Independent House
B080,LP080,14.466671,78.822616,3,9,Mixed Use
B081,LP081,14.474825,78.831034,2,6,Independent House
B082,LP082,14.462237,78.838901,8,24,Commercial
B083,LP083,14.470912,78.836692,6,18,Independent House
B084,LP084,14.468596,78.820837,2,6,Independent House
B085,LP085,14.477978,78.824202,5,15,Apartment
B086,LP086,14.467074,78.831198,1,3,Commercial
B087,LP087,14.47499,78.838515,7,21,Mixed Use
B088,LP088,14.479524,78.836215,4,12,Apartment
B089,LP089,14.463587,78.83849,4,12,Apartment
B090,LP090,14.476045,78.837281,5,15,Apartment
B091,LP091,14.463184,78.834026,1,3,Commercial
B092,LP092,14.477172,78.824449,7,21,Commercial
B093,LP093,14.466993,78.836411,2,6,Commercial
B094,LP094,14.460473,78.823863,1,3,Mixed Use
B095,LP095,14.479338,78.825582,8,24,Apartment
B096,LP096,14.47359,78.836873,7,21,Commercial
B097,LP097,14.462307,78.839408,8,24,Independent House
B098,LP098,14.460765,78.831931,7,21,Independent House
B099,LP099,14.468728,78.839685,5,15,Mixed Use
B100,LP100,14.463802,78.820888,8,24,Mixed Use
