Parcel_ID,Latitude,Longitude,Area_sq_m,Land_Type
LP001,17.695596,83.163853,1176,Residential
LP002,17.695579,83.163643,353,Mixed Use
LP003,17.695702,83.1633,358,Mixed Use
LP004,17.695648,83.162934,244,Mixed Use
LP005,17.695554,83.162887,300,Mixed Use
LP006,17.695447,83.163208,247,Mixed Use
LP007,17.695342,83.163446,274,Mixed Use
LP008,17.69534,83.163049,181,Mixed Use
LP009,17.6953,83.163132,222,Mixed Use
LP010,17.695109,83.163524,357,Mixed Use
LP011,17.695118,83.163752,1225,Residential
LP012,17.694823,83.163545,509,Residential
LP013,17.694677,83.163445,442,Residential
LP014,17.694764,83.16328,294,Residential
LP015,17.694869,83.163081,336,Residential
LP016,17.6949,83.162934,236,Mixed Use
LP017,17.694987,83.162772,210,Mixed Use
LP018,17.695029,83.162691,171,Mixed Use
LP019,17.695181,83.162775,225,Mixed Use
LP020,17.695134,83.162852,181,Mixed Use
LP021,17.695096,83.162934,185,Mixed Use
LP022,17.695028,83.163084,232,Mixed Use
LP023,17.694986,83.163166,191,Mixed Use
LP024,17.6949,83.163342,344,Residential
LP025,17.694253,83.162,222,Mixed Use
LP026,17.694352,83.161453,380,Mixed Use
LP027,17.694561,83.162164,36,Mixed Use
LP028,17.694633,83.161634,332,Residential
LP029,17.694841,83.161729,597,Residential
LP030,17.695017,83.161836,270,Mixed Use
LP031,17.695142,83.161896,348,Mixed Use
LP032,17.695942,83.163097,351,Mixed Use
LP033,17.696067,83.163191,276,Mixed Use
LP034,17.695909,83.163416,354,Mixed Use
LP035,17.696245,83.163947,133,Mixed Use
LP036,17.695838,83.163042,322,Residential
LP037,17.697012,83.16329,583,Commercial
LP038,17.696879,83.163396,103,Mixed Use
LP039,17.696419,83.162591,291,Mixed Use
LP040,17.695938,83.162309,351,Mixed Use
LP041,17.695658,83.162359,311,Mixed Use
LP042,17.695457,83.162252,220,Mixed Use
LP043,17.695433,83.162054,346,Mixed Use
LP044,17.695355,83.162211,372,Mixed Use
LP045,17.694722,83.160889,305,Mixed Use
LP046,17.694692,83.160994,312,Mixed Use
LP047,17.694634,83.161131,381,Mixed Use
LP048,17.694838,83.161293,219,Mixed Use
LP049,17.694959,83.161362,178,Mixed Use
LP050,17.694843,83.161437,184,Mixed Use
LP051,17.694922,83.16149,215,Mixed Use
LP052,17.695249,83.16137,168,Mixed Use
LP053,17.695274,83.161285,195,Mixed Use
LP054,17.695151,83.161523,242,Mixed Use
LP055,17.695286,83.161587,155,Mixed Use
LP056,17.695239,83.16168,223,Mixed Use
LP057,17.69548,83.161202,204,Mixed Use
LP058,17.695384,83.161088,288,Mixed Use
LP059,17.695734,83.161248,193,Mixed Use
LP060,17.695689,83.161334,207,Mixed Use
LP061,17.695771,83.161479,172,Mixed Use
LP062,17.696071,83.161443,277,Mixed Use
LP063,17.695998,83.161615,259,Mixed Use
LP064,17.696239,83.161555,211,Mixed Use
LP065,17.696319,83.161755,214,Mixed Use
LP066,17.696535,83.161709,233,Residential
LP067,17.696576,83.161394,336,Residential
LP068,17.696808,83.161529,371,Residential
LP069,17.696705,83.161992,301,Mixed Use
LP070,17.696546,83.161881,189,Mixed Use
LP071,17.696469,83.161837,217,Mixed Use
LP072,17.69628,83.162028,217,Mixed Use
LP073,17.696139,83.162118,205,Mixed Use
LP074,17.696087,83.161945,392,Mixed Use
LP075,17.696561,83.162267,188,Mixed Use
LP076,17.696511,83.162346,170,Mixed Use
LP077,17.696352,83.162239,240,Mixed Use
LP078,17.695624,83.161785,199,Mixed Use
LP079,17.69549,83.161716,222,Mixed Use
LP080,17.695889,83.161799,175,Mixed Use
LP081,17.695982,83.161874,184,Mixed Use
LP082,17.695845,83.161884,184,Mixed Use
LP083,17.695919,83.162,179,Mixed Use
LP084,17.695807,83.161967,214,Mixed Use
LP085,17.699362,83.15987,541,Residential
LP086,17.698747,83.159942,99,Mixed Use
LP087,17.694881,83.165153,99,Mixed Use
LP088,17.699504,83.170028,14410,Mixed Use
LP089,17.710983,83.150102,86,Mixed Use
LP090,17.711016,83.150007,86,Mixed Use
LP091,17.710956,83.14998,105,Mixed Use
LP092,17.710922,83.15007,105,Mixed Use
LP093,17.710738,83.150443,71,Mixed Use
LP094,17.710693,83.150257,266,Residential
LP095,17.711239,83.150459,73,Mixed Use
LP096,17.71106,83.15038,93,Mixed Use
LP097,17.711494,83.151007,135,Mixed Use
LP098,17.711314,83.150495,94,Mixed Use
LP099,17.711485,83.150671,91,Mixed Use
LP100,17.711177,83.150775,73,Mixed Use
LP101,17.711001,83.151251,73,Mixed Use
LP102,17.710992,83.150788,107,Mixed Use
LP103,17.7106,83.150634,237,Mixed Use
LP104,17.710758,83.15079,201,Mixed Use
LP105,17.710918,83.151027,138,Mixed Use
LP106,17.712283,83.149849,645,Commercial
LP107,17.712643,83.151167,149,Mixed Use
LP108,17.712311,83.151617,91,Mixed Use
