Property_ID,Building_ID,Parcel_ID,Floor_No,Unit_No,Area_sq_m,Property_Type,Prototype_3D_ULPIN
PROP-B001-F01-U101,B001,LP001,1,101,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F01-101
PROP-B001-F01-U102,B001,LP001,1,102,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F01-102
PROP-B001-F01-U103,B001,LP001,1,103,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F01-103
PROP-B001-F01-U104,B001,LP001,1,104,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F01-104
PROP-B001-F02-U201,B001,LP001,2,201,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F02-201
PROP-B001-F02-U202,B001,LP001,2,202,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F02-202
PROP-B001-F02-U203,B001,LP001,2,203,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F02-203
PROP-B001-F02-U204,B001,LP001,2,204,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F02-204
PROP-B001-F03-U301,B001,LP001,3,301,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F03-301
PROP-B001-F03-U302,B001,LP001,3,302,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F03-302
PROP-B001-F03-U303,B001,LP001,3,303,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F03-303
PROP-B001-F03-U304,B001,LP001,3,304,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F03-304
PROP-B001-F04-U401,B001,LP001,4,401,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F04-401
PROP-B001-F04-U402,B001,LP001,4,402,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F04-402
PROP-B001-F04-U403,B001,LP001,4,403,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F04-403
PROP-B001-F04-U404,B001,LP001,4,404,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F04-404
PROP-B001-F05-U501,B001,LP001,5,501,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F05-501
PROP-B001-F05-U502,B001,LP001,5,502,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F05-502
PROP-B001-F05-U503,B001,LP001,5,503,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F05-503
PROP-B001-F05-U504,B001,LP001,5,504,172.3,Residential,IND-AP-VSP-DVD-LP001-B001-F05-504
PROP-B002-F01-U101,B002,LP002,1,101,207.1,Residential,IND-AP-VSP-DVD-LP002-B002-F01-101
PROP-B002-F02-U201,B002,LP002,2,201,207.1,Residential,IND-AP-VSP-DVD-LP002-B002-F02-201
