Building_ID,Parcel_ID,Latitude,Longitude,Floors,Height_m,Building_Type,Name,Osm_ID,Area_sq_m,HasRealLevels,HasRealHeight
B001,LP001,17.695596,83.163853,5,16,Apartment,"KBC Heights",487132882,811,true,false
B002,LP002,17.695579,83.163643,3,9.600000000000001,Independent House,"Lakshmi Nilayam",487132996,243.7,true,false
B003,LP003,17.695702,83.1633,3,9.600000000000001,Independent House,"Sadgun Rao Residency",487133035,246.8,true,false
B004,LP004,17.695648,83.162934,3,9.600000000000001,Independent House,"Kamala Nilayam",487133598,168.5,true,false
B005,LP005,17.695554,83.162887,3,9.600000000000001,Independent House,"Rajmannar Residency",487134175,207.2,true,false
B006,LP006,17.695447,83.163208,2,6.4,Independent House,"Krishnama Raju Residency",487134249,170.5,true,false
B007,LP007,17.695342,83.163446,3,9.600000000000001,Independent House,"Prabhavati Residency",487134302,188.9,true,false
B008,LP008,17.69534,83.163049,2,6.4,Independent House,"Hanumantha Rao Residency",487135832,124.6,true,false
B009,LP009,17.6953,83.163132,2,6.4,Independent House,"Ramakrishna Chowdary Residency",487135869,153.1,false,false
B010,LP010,17.695109,83.163524,3,9.600000000000001,Independent House,"Mallikarjuna Residency",487135919,246.2,true,false
B011,LP011,17.695118,83.163752,5,16,Apartment,"VVK Top Hills",487135947,844.9,true,false
B012,LP012,17.694823,83.163545,6,19.200000000000003,Apartment,"Balaji Towers",487135979,351.1,true,false
B013,LP013,17.694677,83.163445,5,16,Apartment,"Rama Heights",487136665,304.6,true,false
B014,LP014,17.694764,83.16328,5,16,Apartment,"Sri Sai Residency",487136712,203,true,false
B015,LP015,17.694869,83.163081,5,16,Apartment,"Ramachandra Residency",487136736,231.6,true,false
B016,LP016,17.6949,83.162934,2,6.4,Independent House,"Vasantha Nilayam",487136774,162.5,true,false
B017,LP017,17.694987,83.162772,3,9.600000000000001,Independent House,"rama padmini nilayam",487136776,145,true,false
B018,LP018,17.695029,83.162691,3,9.600000000000001,Independent House,"satyanarayana Residency",487136808,117.6,true,false
B019,LP019,17.695181,83.162775,2,6.4,Independent House,"Sattibabu Residency",487136817,154.9,true,false
B020,LP020,17.695134,83.162852,1,3.2,Independent House,"VenkatRao Residency",487136854,124.7,true,false
B021,LP021,17.695096,83.162934,1,3.2,Independent House,"Vasanth Rai Residency",487136923,127.8,true,false
B022,LP022,17.695028,83.163084,2,6.4,Independent House,"Lakshmi nivas",487136985,159.7,true,false
B023,LP023,17.694986,83.163166,2,6.4,Independent House,"Siva Prasad Residency",487136999,132,true,false
B024,LP024,17.6949,83.163342,2,6.4,Apartment,"Sri Vatsavai Nilayam",487137058,237,true,false
B025,LP025,17.694253,83.162,2,6.4,Independent House,"Rekha Nivas",487142921,152.9,true,false
B026,LP026,17.694352,83.161453,1,3.2,Independent House,"Vijay Kumar Singh Residency",487143206,262,true,false
B027,LP027,17.694561,83.162164,2,6.4,Independent House,"colony library",487157097,25.1,false,false
B028,LP028,17.694633,83.161634,5,16,Apartment,"Manmadha residency",487157506,228.9,false,false
B029,LP029,17.694841,83.161729,5,16,Apartment,"Vishnu Executive Avenue",487157584,411.4,true,false
B030,LP030,17.695017,83.161836,3,9.600000000000001,Independent House,"SVR Mansion",487157695,186.5,true,false
B031,LP031,17.695142,83.161896,2,6.4,Independent House,"Ganesh Nivas",487158001,240,true,false
B032,LP032,17.695942,83.163097,2,6.4,Independent House,"Gopichand Residency",487158211,241.8,true,false
B033,LP033,17.696067,83.163191,2,6.4,Independent House,"Gopichand Residency",487160168,190.6,true,false
B034,LP034,17.695909,83.163416,3,9.600000000000001,Independent House,"Appala raju Residency",487160220,244.1,true,false
B035,LP035,17.696245,83.163947,1,3.2,Independent House,"grocery store",487160356,92,true,false
B036,LP036,17.695838,83.163042,1,3.2,Apartment,"Ravikumar Residency",487160451,222.4,true,false
B037,LP037,17.697012,83.16329,1,3.2,Commercial,"servicing center",487160563,402,true,false
B038,LP038,17.696879,83.163396,1,3.2,Independent House,"indian overseas bank",487160783,71.1,true,false
