Parcel_ID,Latitude,Longitude,Area_sq_m,Land_Type
LP001,14.472789,78.8205,695.05,Residential
LP002,14.462791,78.82205,1533.2,Mixed Use
LP003,14.461739,78.828438,253.63,Residential
LP004,14.464653,78.83204,1210.24,Mixed Use
LP005,14.472998,78.830899,596.79,Mixed Use
LP006,14.465564,78.837386,1565.85,Residential
LP007,14.473963,78.826805,479.86,Commercial
LP008,14.462044,78.827599,846.16,Commercial
LP009,14.472075,78.836143,1513.52,Mixed Use
LP010,14.462497,78.838446,341.84,Commercial
LP011,14.476588,78.83237,1751.07,Mixed Use
LP012,14.463846,78.821391,1390.27,Commercial
LP013,14.479704,78.837106,1759.67,Commercial
LP014,14.465559,78.832714,856.7,Commercial
LP015,14.467105,78.833404,1463.28,Mixed Use
LP016,14.472961,78.832183,508.05,Mixed Use
LP017,14.464896,78.829245,685.91,Mixed Use
LP018,14.473763,78.824392,783.71,Residential
LP019,14.464581,78.820642,767.82,Commercial
LP020,14.461324,78.838263,1220.92,Mixed Use
LP021,14.466294,78.833109,912.14,Mixed Use
LP022,14.469177,78.825298,643.93,Mixed Use
LP023,14.47078,78.83494,971.18,Mixed Use
LP024,14.467988,78.824386,1995.57,Mixed Use
LP025,14.46987,78.835116,1749.99,Residential
LP026,14.472549,78.835842,959.89,Residential
LP027,14.467695,78.831918,1042.49,Commercial
LP028,14.479422,78.837216,220.67,Mixed Use
LP029,14.462291,78.837696,1551.58,Mixed Use
LP030,14.466804,78.82587,484.68,Residential
LP031,14.479076,78.837517,674.1,Mixed Use
LP032,14.475239,78.830154,391.54,Mixed Use
LP033,14.465969,78.832779,1296.15,Residential
LP034,14.467478,78.823231,1916.3,Mixed Use
LP035,14.47837,78.831979,1079.49,Residential
LP036,14.478582,78.837574,1697.0,Commercial
LP037,14.464789,78.824817,1221.24,Residential
LP038,14.461713,78.82972,324.58,Mixed Use
LP039,14.475317,78.822568,1055.51,Mixed Use
LP040,14.463303,78.830553,1291.87,Residential
LP041,14.478578,78.835105,1441.76,Mixed Use
LP042,14.466234,78.839903,1369.78,Commercial
LP043,14.477992,78.82903,646.23,Residential
LP044,14.466762,78.831766,614.21,Residential
LP045,14.460144,78.834157,305.97,Residential
LP046,14.478108,78.837193,327.54,Residential
LP047,14.46557,78.829708,1170.62,Mixed Use
LP048,14.47871,78.831421,1050.81,Commercial
LP049,14.47615,78.823808,374.48,Commercial
LP050,14.467086,78.828222,1754.91,Residential
LP051,14.473467,78.839683,377.15,Commercial
LP052,14.474564,78.836012,396.68,Residential
LP053,14.463804,78.828972,959.39,Commercial
LP054,14.469253,78.83749,335.69,Mixed Use
LP055,14.461958,78.833043,1173.06,Residential
LP056,14.47938,78.838527,1727.65,Residential
LP057,14.468128,78.829627,1756.37,Residential
LP058,14.463293,78.820043,902.76,Commercial
LP059,14.465705,78.833932,1514.91,Mixed Use
LP060,14.473237,78.829733,541.82,Residential
LP061,14.479374,78.831584,1175.95,Mixed Use
LP062,14.466272,78.821003,1058.22,Mixed Use
LP063,14.463149,78.839216,344.2,Residential
LP064,14.46137,78.821359,1751.27,Commercial
LP065,14.462398,78.837806,643.19,Mixed Use
LP066,14.460795,78.82164,1383.27,Mixed Use
LP067,14.470456,78.838694,567.67,Mixed Use
LP068,14.466284,78.825312,435.58,Mixed Use
LP069,14.466,78.826324,1553.36,Residential
LP070,14.460186,78.832423,1213.39,Residential
LP071,14.461465,78.824263,677.36,Commercial
LP072,14.477617,78.837585,865.15,Residential
LP073,14.468764,78.830864,744.53,Mixed Use
LP074,14.470579,78.833357,1198.28,Mixed Use
LP075,14.462072,78.837563,676.04,Residential
LP076,14.474848,78.823109,707.16,Residential
LP077,14.474352,78.824072,1341.63,Commercial
LP078,14.470108,78.825022,1834.69,Residential
LP079,14.461846,78.828472,698.02,Residential
LP080,14.466671,78.822616,1963.64,Residential
LP081,14.474825,78.831034,969.84,Residential
LP082,14.462237,78.838901,1443.84,Residential
LP083,14.470912,78.836692,1248.52,Residential
LP084,14.468596,78.820837,856.37,Residential
LP085,14.477978,78.824202,649.15,Residential
LP086,14.467074,78.831198,1774.48,Mixed Use
LP087,14.47499,78.838515,626.13,Residential
LP088,14.479524,78.836215,1786.55,Residential
LP089,14.463587,78.83849,1608.3,Commercial
LP090,14.476045,78.837281,1659.35,Commercial
LP091,14.463184,78.834026,888.58,Residential
LP092,14.477172,78.824449,1669.86,Commercial
LP093,14.466993,78.836411,1768.38,Residential
LP094,14.460473,78.823863,790.87,Residential
LP095,14.479338,78.825582,1354.67,Commercial
LP096,14.47359,78.836873,796.07,Residential
LP097,14.462307,78.839408,521.42,Commercial
LP098,14.460765,78.831931,822.24,Commercial
LP099,14.468728,78.839685,408.16,Mixed Use
LP100,14.463802,78.820888,984.9,Mixed Use
